ID,F0
Austrian_1,108.84375
Austrian_10,111.35625
Austrian_2,126.59375
Austrian_3,120.7875
Austrian_4,108.8625
Austrian_5,105.39375
Austrian_6,97.86875
Austrian_7,111.59375
Austrian_8,104.95625
Austrian_9,104.26875
Chinese_1,115.64203724438596
Chinese_2,154.24467099666666
Chinese_6,156.03181255254236
Chinese_8,145.79338024833334
German_1,175.51875
German_2,129.33125
Japanese_1,145.00833333333333
Japanese_10,127.34166666666668
Japanese_12,123.85
Japanese_15,85.63333333333334
Japanese_16,168.525
Japanese_19,102.7
Japanese_4,127.36666666666666
Japanese_9,121.71666666666668
Korean_1,144.51258157
Korean_2,125.70035047
Korean_3,152.35389297
Korean_4,157.11390115
Korean_5,93.984769488
Korean_6,105.510575512
Korean_7,103.894258647
Russian_1,115.48852795
